cost_bps_one_way,mean_monthly_net_active,annualized_monthly_ir
0,0.00760355386057671,1.234926
10,0.006488488925511779,1.053415
20,0.005373423990446857,0.871999
30,0.004258359055381923,0.690707
50,0.002028229185252053,0.328606
