candidate,months,mean_rank_ic,hac_t,hac_p_one_sided,positive_years,required_positive_year,required_year_positive,mean_net_active_return,net_information_ratio,mean_monthly_traded_notional,minimum_monthly_return_coverage,minimum_selected_return_coverage,family_q_bh,passes_construction_gate_before_family_bh,passes_construction_gate
pmedian3_v46,34,0.013529493706908084,3.938356516341053,4.1020815633275956e-05,3,2025,True,-0.00042552075333033337,-0.07250850919382235,0.6105882352941177,1.0,1.0,4.1020815633275956e-05,False,False
pfloor3_v46,34,0.018553442828727573,4.529846771735792,2.9513239735167494e-06,3,2025,True,-0.003512379861761051,-0.8638239890929955,0.6105882352941177,1.0,1.0,4.426985960275124e-06,False,False
pstable3_v46,34,0.01851052673608361,4.667535889927827,1.5241675703283846e-06,3,2025,True,-0.003388142250334303,-0.7380319676966653,0.5976470588235295,1.0,1.0,4.426985960275124e-06,False,False
