role,candidate,months,mean_rank_ic,hac_t,hac_p_one_sided,positive_years,required_year_positive,mean_net_active_return,net_information_ratio,minimum_monthly_return_coverage,minimum_selected_return_coverage,passes_gate
adaptive_E_plus_F_construction,pcs70_30_v45,35,0.016561465164680097,3.4470586555735427,0.00028336276298133176,3,True,-0.00032137356666218166,-0.07543006833176331,1.0,1.0,False
adaptive_E_plus_F_construction,pcs60_25_15_v45,34,0.017574156896445568,3.7950460626423173,7.380802368014161e-05,3,True,0.0026865648391386585,0.515475951493969,1.0,1.0,True
adaptive_E_plus_F_construction,pcg_v45,35,0.01607952045355872,3.3084934333710945,0.000468996922459079,3,True,0.0009249752456747,0.20128015402254973,1.0,1.0,False
one_shot_bucket_G_confirmation,pcs60_25_15_v45,34,0.010513935673750193,1.3205298155072829,0.09332909408452722,2,True,0.0023546431542953872,0.8035118225085002,1.0,1.0,False
