year,mean_rank_ic,mean_net_active_return,months
2020,0.10881246921177308,0.006920146823184053,12
2021,0.12703393095092708,0.011018217808519866,12
2022,0.12970256426699803,0.006589248377165918,12
2023,0.14842160300462004,0.005021380579220751,12
2024,0.14777395904706828,0.012043822076611905,12
2025,0.12365812039804092,-0.00013539251426498974,12
2026,-0.003024066804700953,-0.016747086108168406,5
