year,mean_rank_ic,mean_net_active_return,months,candidate
2021,-0.0022118223199391663,-0.009044454818435561,10,logit_tail_v53
2022,-0.003145645920527263,-0.006122937978744122,12,logit_tail_v53
2023,-0.009417150472671611,-0.003960726951177712,12,logit_tail_v53
2021,0.0255591745794543,0.00702687031887155,10,hgb_tail_v53
2022,0.016856634722620667,-0.004093317763996283,12,hgb_tail_v53
2023,0.023789030464748423,0.0025037437347944563,12,hgb_tail_v53
2021,0.022218510047670333,-0.004214141708007426,10,extra_tail_v53
2022,-0.012021067739402086,-0.009338783100944359,12,extra_tail_v53
2023,0.004296063638660727,-0.004063340242535949,12,extra_tail_v53
