candidate,months,mean_rank_ic,hac_t,hac_p_one_sided,positive_years,required_positive_year,required_year_positive,mean_net_active_return,net_information_ratio,mean_monthly_traded_notional,minimum_monthly_return_coverage,minimum_selected_return_coverage,family_q_bh,required_core_years_positive,passes_construction_gate_before_family_bh,passes_construction_gate,passes_data_coverage_gate
logit_tail_v53,34,-0.00508446411522877,-0.7227058206236001,0.7650696806100052,0,2023,False,-0.00621907433362993,-1.6485982886540627,1.2847058823529411,1.0,1.0,0.7650696806100052,False,False,False,True
hgb_tail_v53,34,0.02186293317773447,2.1870594890827006,0.01436909074435775,3,2023,True,0.0015057004364203996,0.32042450227717123,1.1952941176470588,1.0,1.0,0.04310727223307325,True,True,True,True
extra_tail_v53,34,0.0038083838608178535,0.5629410466818048,0.2867375142445241,2,2023,True,-0.005969614623583469,-1.6311453731208976,1.1952941176470588,1.0,1.0,0.43010627136678614,False,False,False,True
